Author,author_id,author_country
Nailah Folami Imoja,nfimoja,barbados
Naima Coster,ncoster,united_states
Nalo Hopkinson,nhopkinson,jamaica
Namba Roy,nroy,jamaica
Nancy Morejón,nmorejón,cuba
Naomi Jackson,njackson,united_states
Narmala Shewcharan,nshewcharan,guyana
Néstor Ponce,nponce,argentina
Neville Dawes,ndawes,nigeria
Neville Giuseppi,ngiuseppi,trinidad_&_tobago
Nicholas Laughlin,nlaughlin,trinidad_&_tobago
Nicola Yoon,nyoon,jamaica
Nicolás Guillén,ngullien,cuba
Nicole Deniss-Benn,ndennisbenn,jamaica
Nicole Roberts,nroberts,united_states
Norman Eustace Cameron,necameron,guyana
O.R Dathorne,ordathorne,guyana
Olive Lewin,olewin,jamaica
Olive Senior,osenior,jamaica
Oonya Kempadoo,okempadoo,england
Opal Palmer Adisa,opalmeradisa,jamaica
Orlando Luis Pardo Lazo,olplazo,cuba
Orlando Patterson,opatterson,jamaica
Osvaldo García Goyco,oggoyco,puerto_rico
Pamela Mordecai,pmordecai,jamaica
Patricia Powell,ppowell,jamaica
Patrick Chamoiseau,pchamoiseau,martinique
Patrick Sylvain,psylvain,haiti
Paul Keens-Douglas,pkeensdouglas,trinidad_&_tobago
Paul Marlee,pmarlee,suriname
Paule Marshall,pmarshall,barbados
Paulette Ramsay,pramsay,jamaica
Pauline Melville,pmelville,guyana
Peekash Press,ppress,united_states
Peter Abrahams,pabrahams,jamaica
Peter Josie,pjosie,st._lucia
Peter Kempadoo,pkempadoo,guyana
Petreine Archer,parcher,england
Philip Lindsay,plindsay,united_states
Philippe Thoby-Marcelin,ptmarcelin,haiti
Phyllis Shand Allfrey,psallfrey,dominica
Pierre Alex Jeanty,pajeanty,haiti
Pierre Marcelin,pmarcelin,france
Pompée Valentin Vastey,pvvastey,haiti
Queen Macoomeh,qmacoomeh,trinidad_&_tobago
R. A. Pinder,rapinder,the_bahamas
R. L. C. Aarons,rlcaarons,jamaica
R.B Cunnighame-Graham,rbcunninghamegraham,england
Rabindranath Maharaj,rmaharaj,trinidad_&_tobago
Rachel Kirby,rkirby,england
Rachel Manley,rmanley,england
Ramon Antonio Victoriano-Martinez,ravmartinez,dominican_republic
Ramón De Palma,rdepalma,cuba
Raoul B. Altidor,rbaltidor,haiti
Raoul Pantin,rpantin,trinidad_&_tobago
Raphaël Confiant,rconfiant,martinique
Reinaldo Arenas,rarenas,cuba
René Bonneville,rbonneville,martinique
Rene Depestre,rdepestre,haiti
René Maran,rmaran,martinique
René Philoctète,rphiloctète,haiti
Richard F. Patterson,rfpatterson,united_states
Richardo Keens-Douglas,rkdouglas,grenada
Robert Antoni,rantoni,united_states
Robert L Ross,rlross,united_states
Robert McDonald,rmcdonald,united_states
Robert Nazaire,rnazaire,canada
Roberto Fernández Retamar,rfretamar,cuba
Roberto Valero,rvalero,cuba
Roderick Walcott,rwalcott,st._lucia
Roger Dorsinville,rdorsinville,haiti
Roger Mais,rmais,jamaica
Roger Parsemain,rparsemain,martinique
Roger Robinson,rrobinson,united_states
Rooplall Monar,rmonar,guyana
Roopnandan Singh,rsingh,guyana
Roxane Gay,rgay,haiti
Roque Dalton,rdalton,el_salvador
Roy A Galt,ragalt,trinidad_&_tobago
Roy Namba,rnamba,jamaica
Rueben Martínez,rmartínez,united_states
Sabrina Costanzo,scostanzo,england
Saint-John Perse,sjperse,guadeloupe
Samuel Selvon,sselvon,trinidad_&_tobago
Sara Collins,scollins,jamaica
Sarah Dass,sdass,trinidad_&_tobago
Sarah Pooley,spooley,canada
Sasenarine Persaud,spersaud,guyana
Seepersad Naipaul,snaipaul,trinidad_&_tobago
Severo Sarduy,ssarduy,cuba
Shakirah Bourne,sbourne,barbados
Shani Mootoo,smootoo,ireland
Sherwyn Besson,sbesson,trinidad_&_tobago
Shiva Naipaul,shnaipaul,trinidad_&_tobago
Shiva Shridath Maharajh,ssmaharajh,trinidad_&_tobago
Shivanee Ramlochan,sramlochan,trinidad_&_tobago
Simon Schama,sschama,england
Simone Schwarz-Bart,ssbart,france
Soleida Rios,srios,cuba
Stephen A Dantes,sadantes,st._lucia
Stewart Brown,sbrown,england
Suzanne Dracius,sdracius,martinique
Suzanne Durant,sdurant,barbados
Sylvia Wynter,swynter,jamaica
Tami Charles,tcharles,united_states
Tessa McWatt,tmcwatt,guyana
Timothée Paret,tparet,united_states
Timothy Callender,tcallender,barbados
Tip Marugg,tmarugg,curaçao
Tiphanie Yanique,tyanique,united_states
Tony Delsham,tdelsham,martinique
Trevor Chadee,tchadee,trinidad_&_tobago
Trevor D Rhone,tdrhone,jamaica
Tyrone Williams,twilliams,united_states
Umberto Valverde,uvalverde,columbia
Una Marson,umarson,jamaica
Undine Giuseppi,ugiuseppi,barbados
V.S. Naipaul,vsnaipaul,trinidad_&_tobago
Vahni Capildeo,vcapildeo,trinidad_&_tobago
Vanessa Riley,vriley,trinidad_&_tobago
Vanessa Spence,vspence,jamaica
Velma Pollard,vpollard,jamaica
Velta J Clarke,vjclarke,jamaica
Véronique Maisier,vmaisier,canada
Victor Stafford Reid,vsreid,jamaica
Vigil Diaz,vdiaz,dominican_republic
Virgilio Piñera,vpinera,cuba
Vladimir Lucien,vlucien,st._lucia
W. Arthur Lewis,walewis,st._lucia
Wallace Williams,wwilliams,virgin_islands
Walter Goodman,wgoodman,united¬†states
Walter Adolphe Roberts,waroberts,jamaica
Wayne Gerard Trotman,wgtrotman,trinidad_&_tobago
William Loehfelm,wloehfelm,united_states
William P Barron,wpbarron,england
William T Vollmann,wtvollmann,united_states
Wycliffe Bennett,wbennett,jamaica
Yanick Lahens,ylahens,haiti
Yanitzia Canetti,ycanetti,cuba
Ylce Irizarry,yIrizarry,cuba
Youmna Charara,ycharara,italy
Zadie Smith,zsmith,england
Zee Edgell,zedgell,belize
Zetta Elliott,zelliott,canada
Zoukouyanyan Compagnie,zcompagnie,french_guiana
