authorid,Author,Country,mapId,birthYear,deathYear,Lifespan,Wikimedia,dloc,lon,lat
fjanney,Frank Janney,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
franketienne,Frankétienne,Haiti,5,1936,0,1936-,https://en.wikipedia.org/wiki/Frank%C3%A9tienne,https://www.dloc.com/AA00038519/00001/videos,-72.3385625,18.40248133
fwainwright,Frantz Wainwright,Haiti,5,0,0,Unknown,,https://createcaribbean.org/vcl/fwainwright_dloc/,-72.3385625,18.40248133
fdaguiar,Fred D'Aguiar,England,11,1960,0,1960-,https://en.wikipedia.org/wiki/Fred_D%27Aguiar,https://createcaribbean.org/vcl/fdaguiar_dloc/,-1.458627594,52.59273448
fmarcelin,Frédéric Marcelin,Haiti,5,1848,1917,1848-1917,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Marcelin,https://createcaribbean.org/vcl/fmarcelin_dloc/,-72.3385625,18.40248133
fwols,Frits Wols,Suriname,43,1938,0,1938-,https://nl.wikipedia.org/wiki/Frits_Wols,,-56.01360781,3.931777409
gdayton,Geoffrey Drayton,Barbados,12,0,0,Unknown,,,-59.55642448,13.17222198
gphilip,Geoffrey Philip,Jamaica,4,0,0,Unknown,,,-77.31110641,18.15769529
gcampbell,George Campbell,Jamaica,4,1916,2002,1916-2002,,https://www.dloc.com/CA01300005/00001/images,-77.31110641,18.15769529
glamming,George Lamming,Barbados,12,1927,2022,1927-2022,https://en.wikipedia.org/wiki/George_Lamming,https://createcaribbean.org/vcl/glamming_dloc/,-59.55642448,13.17222198
gmauvois,Georges Mauvois,Martinique,8,1922,2018,1922-2018,https://fr.wikipedia.org/wiki/Georges_Mauvois,https://www.dloc.com/UF00088914/00204/images,-61.01838056,14.65313333
gsylvain,Georges Sylvain,Haiti,5,0,0,Unknown,https://fr.wikipedia.org/wiki/Georges_Sylvain,https://createcaribbean.org/vcl/gsylvain_dloc/,-72.3385625,18.40248133
gbulin,Gérard Bulin,France,17,0,0,Unknown,,,2.550539953,46.55941704
gpicart,Gina Picart,Cuba,14,1956,0,1956-,https://es.wikipedia.org/wiki/Gina_Picart,https://createcaribbean.org/vcl/gpicart_dloc/,-79.5,22
gpineau,Gisèle Pineau,Guadeloupe,29,1956,0,1956-,https://en.wikipedia.org/wiki/Gis%C3%A8le_Pineau,https://createcaribbean.org/vcl/gpineau_dloc/,-61.65012,16.14475253
gguevara,Glynis Guevara,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
grohlehr,Gordon Rohlehr,Guyana,62,1942,2023,1942-2023,https://en.wikipedia.org/wiki/Gordon_Rohlehr,https://createcaribbean.org/vcl/grohlehr_dloc/,-58.97538658,4.79642268
gnichols,Grace Nichols,Guyana,62,1950,0,1950-,https://en.wikipedia.org/wiki/Grace_Nichols,https://createcaribbean.org/vcl/gnichols_dloc/,-58.97538658,4.79642268
gthompson,Gregory Thompson,Trinidad & Tobago,3,1958,0,1958-,,,-61.26048814,10.47267428
grosales,Guillermo Rosales,Cuba,14,1946,1993,1946-1993,https://en.wikipedia.org/wiki/Guillermo_Rosales,,-79.5,22
gjohn,Gus John,Grenada,27,1945,0,1945-,https://en.wikipedia.org/wiki/Gus_John,,-61.65964496,12.15196505
gharold,Gwyneth Harold,Jamaica,4,0,0,Unknown,,,-77.31110641,18.15769529
hkhemraj,Harischandra Khemraj,Guyana,62,1944,0,1944-,https://en.wikipedia.org/wiki/Harischandra_Khemraj,https://createcaribbean.org/vcl/hkhemraj_dloc/,-58.97538658,4.79642268
hramoutar,Harold Ramoutar,Chile,49,0,0,Unknown,,,-71,-30
hsladoo,Harold Sonny Ladoo,Trinidad & Tobago,3,1954,0,1954-,,https://createcaribbean.org/vcl/hsladoo_dloc/,-61.26048814,10.47267428
hvaldman,Hayim Valdman,Ukraine,60,0,0,Unknown,,,31.37492605,49.02689837
hsmcdonald,Hazel Simmons-McDonald,St. Lucia,16,1947,0,1947-,https://en.wikipedia.org/wiki/Hazel_Simmons-McDonald,https://createcaribbean.org/vcl/hsmcdonald_dloc/,-60.96730046,13.89863973
hklonaris,Helen Klonaris,The Bahamas,19,0,0,Unknown,,https://createcaribbean.org/vcl/hklonaris_dloc/,-77.37122,25.04082
hhbell,Henry Hesketh Bell,England,11,1864,1952,1864-1952,https://en.wikipedia.org/wiki/Henry_Hesketh_Bell,,-1.458627594,52.59273448
hjreifer,Herbert J. Reifer,Barbados,12,0,0,Unknown,,,-59.55642448,13.17222198
hpease,Howard Pease,United States,1,1894,1974,1894-1974,https://en.wikipedia.org/wiki/Howard_Pease,,-99.41461919,39.39870316
hnthomas,Hubert Nigel Thomas,St. Vincent & the Grenadines,42,1947,0,1947-,,,-61.20075147,13.20184062
hpapailler,Hubert Papailler,Haiti,5,1916,2007,1916-2007,,https://createcaribbean.org/vcl/hpapailler_dloc/,-72.3385625,18.40248133
hyared,Hyam Yared,Lebanon,65,1975,0,1975-,https://en.wikipedia.org/wiki/Hyam_Yared,,35.89342774,33.92144517
izoboi,Ibi Zoboi,Haiti,5,1972,0,1972-,https://en.wikipedia.org/wiki/Ibi_Zoboi,,-72.3385625,18.40248133
ifaubert,Ida Faubert,Haiti,5,1882,1969,1882-1969,https://en.wikipedia.org/wiki/Ida_Faubert,https://www.dloc.com/UF00000081/05733/images,-72.3385625,18.40248133
ifulani,Ifeona Fulani,Jamaica,4,0,0,Unknown,,https://createcaribbean.org/vcl/ifulani_dloc/,-77.31110641,18.15769529
ipersaud,Ingrid Persaud,Trinidad & Tobago,3,0,0,Unknown,https://en.wikipedia.org/wiki/Ingrid_Persaud,,-61.26048814,10.47267428
