authorid,author_name,resource_title,resource_month,resource_day,resource_year,resource_language,resource_sample_url,resource_full_url,resource_type,resource_source,tags,comments
aclarke,Austin Clarke,Growing up stupid under the Union Jack,,,1980,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/56/00001/PR9199-3-C526G761980b_dj.jpg,https://www.dloc.com/AA00030456/00001/images,image,dLOC,,
aclarke,Austin Clarke,The meeting point,,,1967,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/06/00001/PR9230-9-C5M441967b_dj.jpg,https://www.dloc.com/AA00030506/00001/images,image,dLOC,,
aclarke,Austin Clarke,Amongst thistles and thorn,,,1965,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/55/00001/PR9199-3-C526A561965_dj.jpg,https://www.dloc.com/AA00030455/00001/images,image,dLOC,,
aclarke,Austin Clarke,The survivors of the crossing,,,1964,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/08/00001/PR9230-9-C5S871964b_dj.jpg,https://www.dloc.com/AA00030508/00001/images,image,dLOC,,
aclarke,Austin Clarke,Storm of fortune : a novel,,,1973,,https://ufdcimages.uflib.ufl.edu/AA/00/03/05/07/00001/PR9230-9-C5S761973_dj.jpg,https://www.dloc.com/AA00030507/00001/images,image,dLOC,,
aclarke,Austin Clarke,Orality in Austin Clarke's short stories,,,2000,,https://ufdcimages.uflib.ufl.edu/CA/00/40/02/22/00001/00001.jpg,https://www.dloc.com/CA00400222/00001/images,image,dLOC,,
aclarke,Austin Clarke,Authors lining up for CARIFESTA : list of top 100 Caribbean books to be compiled,,,,,https://ufdcimages.uflib.ufl.edu/CA/00/10/05/65/00001/00001.jpg,https://www.dloc.com/CA00100565/00001/images,image,dLOC,,
bjenkins,Barbara Jenkins,Caribbean beat,January,,2018,English,https://www.dloc.com/AA00090268/00039/pdf,https://www.dloc.com/AA00090268/00039/pdf,pdf,dLOC,,
blalla,Barbara Lalla,Listing of Caribbean Titles,,,2010,,https://www.dloc.com/AA00013173/00001/pdf,https://www.dloc.com/AA00013173/00001/pdf,pdf,dLOC,,
blalla,Barbara Lalla,Caribbean Compass,January,,2017,,https://www.dloc.com/UF00095627/00119/pdf,https://www.dloc.com/UF00095627/00119/pdf,pdf,dLOC,,
blalla,Barbara Lalla,UWI today,Feburary,9,2020,,https://www.dloc.com/UF00094180/00121/pdf,https://www.dloc.com/UF00094180/00121/pdf,pdf,dLOC,,
blalla,Barbara Lalla,Caribbean beat,July,,2021,,https://www.dloc.com/AA00090268/00059/pdf,https://www.dloc.com/AA00090268/00059/pdf,pdf,dLOC,,
bgilroy,Beryl Gilroy,MaComère,,,1998,,https://ufdcimages.uflib.ufl.edu/AA/00/00/00/79/00002/00000.jpg,https://www.dloc.com/AA00000079/00002/images,image,dLOC,,
bgilroy,Beryl Gilroy,MaComère,,,2001,,https://ufdcimages.uflib.ufl.edu/AA/00/00/00/79/00005/00005_00000.jpg,https://www.dloc.com/AA00000079/00005/images,image,dLOC,,
bgilroy,Beryl Gilroy,The Caribbean writer,,,1988,,https://ufdcimages.uflib.ufl.edu/AA/00/03/25/23/00002/AA00032523_00002_00001.jpg,https://www.dloc.com/AA00032523/00002/images,image,dLOC,,
bgilroy,Beryl Gilroy,Guyana chronicle,Feburary,27,2005,,https://ufdcimages.uflib.ufl.edu/UF/00/08/89/15/00007/88915_00007_00001.jpg,https://www.dloc.com/UF00088915/00007/images,image,dLOC,,
bgilroy,Beryl Gilroy,The Caribbean writer,,,1998,,https://ufdcimages.uflib.ufl.edu/AA/00/03/25/23/00012/AA00032523_00012_00001.jpg,https://www.dloc.com/AA00032523/00012/images,image,dLOC,,
bgilroy,Beryl Gilroy,Woman version,,,1993,,https://ufdcimages.uflib.ufl.edu/AA/00/05/28/65/00001/00001.jpg,https://www.dloc.com/AA00052865/00001/images,image,dLOC,,
bgilroy,Beryl Gilroy,Caribbean review,,,1990,,https://ufdcimages.uflib.ufl.edu/UF/00/09/55/76/00007/UF00095576_6_00001.jpg,https://www.dloc.com/UF00095576/00007/images,image,dLOC,,
bgilroy,Beryl Gilroy,Kyk-over-Al,,,2000,,https://ufdcimages.uflib.ufl.edu/UF/00/08/00/46/00025/00001.jpg,https://www.dloc.com/UF00080046/00025/images,image,dLOC,,
bgilroy,Beryl Gilroy,Guyana chronicle,October,15,2006,,https://ufdcimages.uflib.ufl.edu/UF/00/08/89/15/00218/UF00088915_00218_0001.jpg,https://www.dloc.com/UF00088915/00218/images,image,dLOC,,
bgilroy,Beryl Gilroy,Guyana chronicle,March,11,2007,,https://ufdcimages.uflib.ufl.edu/UF/00/08/89/15/00238/UF00088915_VID00238_0001.jpg,https://www.dloc.com/UF00088915/00238/images,image,dLOC,,
bbyrne,Bonifacio Byrne,De mi jardín interior,,,1933,,https://ufdcimages.uflib.ufl.edu/AA/00/08/81/59/00001/00001.jpg,https://www.dloc.com/AA00088159/00001/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Seleccion poetica,,,1942,,https://ufdcimages.uflib.ufl.edu/AA/00/05/83/44/00001/00000.jpg,https://www.dloc.com/AA00058344/00001/images,image,dLOC,,
bbyrne,Bonifacio Byrne,En medio del camino,,,1914,,https://ufdcimages.uflib.ufl.edu/AA/00/07/76/99/00001/AA00077699_00001_title.jpg,https://www.dloc.com/AA00077699/00001/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Diario de sesiones del Congreso de la Républica de Cuba,,,1902,,https://ufdcimages.uflib.ufl.edu/UF/00/01/51/80/00655/00001.jpg,https://www.dloc.com/UF00015180/00655/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Anales del Grupo Indice,,,1936,,https://ufdcimages.uflib.ufl.edu/AA/00/08/56/46/00001/00001.jpg,https://www.dloc.com/AA00085646/00001/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Matanzas y sus poetas,,,1939,,https://ufdcimages.uflib.ufl.edu/AA/00/08/98/13/00001/02107.jpg,https://www.dloc.com/AA00089813/00001/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Anuario bibliografico cubano,,,1943,,https://ufdcimages.uflib.ufl.edu/AA/00/06/35/78/00017/00001.jpg,https://www.dloc.com/AA00063578/00017/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Anuario bibliografico cubano,,,1942,,https://ufdcimages.uflib.ufl.edu/AA/00/06/35/78/00016/00001.jpg,https://www.dloc.com/AA00063578/00016/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Diario de sesiones del Congreso de la Républica de Cuba,,,1902,,https://ufdcimages.uflib.ufl.edu/UF/00/01/51/80/00657/00001.jpg,https://www.dloc.com/UF00015180/00657/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Cultura cubana,,,1919,,https://ufdcimages.uflib.ufl.edu/AA/00/05/92/85/00001/culturacubanalap00doll_0001.jpg,https://www.dloc.com/AA00059285/00001/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Ahora!,,,2014,,https://www.dloc.com/UF00098942/00551/pdf,https://www.dloc.com/UF00098942/00551/pdf,pdf,dLOC,,
bbyrne,Bonifacio Byrne,Panorama histórico de la literatura cubana,,,1963,,https://ufdcimages.uflib.ufl.edu/UF/00/07/41/37/00001/00001.jpg,https://www.dloc.com/UF00074137/00001/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Revista de Cayo Hueso,July,24,1898,,https://ufdcimages.uflib.ufl.edu/AA/00/04/67/24/00037/Revista%20cayohueso_1898_7_24_001.jpg,https://www.dloc.com/AA00046724/00037/images,image,dLOC,,
bbyrne,Bonifacio Byrne,Epocas y contenidos de la Revista de la Biblioteca Nacional de Cuba,,,2009,,https://www.dloc.com/AA00019221/00001/pdf,https://www.dloc.com/AA00019221/00001/pdf,pdf,dLOC,,
brennie,Bukka Rennie,UWI today,November,4,2018,,https://www.dloc.com/UF00094180/00109/pdf,https://www.dloc.com/UF00094180/00109/pdf,pdf,dLOC,,
brennie,Bukka Rennie,A report on the holdings of the University of Florida Libraries relating to the English-speaking countries of the Caribbean,,,1982,,https://ufdcimages.uflib.ufl.edu/AA/00/06/23/39/00001/00001.jpg,https://www.dloc.com/AA00062339/00001/images,image,dLOC,,
clrjames,C. L. R. James,Convention appraisal,May,12,1960,,https://ufdcimages.uflib.ufl.edu/UF/00/01/66/01/00001/00001.jpg,https://www.dloc.com/UF00016601/00001/images,image,dLOC,,
clrjames,C. L. R. James,Consequences of class and color; West Indian perspectives,,,1973,,https://ufdcimages.uflib.ufl.edu/AA/00/03/02/67/00001/HN192-5-L65_dj1.jpg,https://www.dloc.com/AA00030267/00001/images/1,image,dLOC,,
clrjames,C. L. R. James,Caribbean essays : an anthology,,,1973,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/74/00001/PR9215-C291973_dj.jpg,https://www.dloc.com/AA00030474/00001/images,image,dLOC,,
